network,platform,latitude,longitude,date,vertical_datum,mass_concentration_of_oxygen_in_sea_wate,qcFlag 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2011-07-01T04:00:00Z,2.29,4.76,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2011-07-01T04:00:00Z,1.7,6.25,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2011-07-01T04:00:00Z,2.27,2.96,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T04:02:00Z,2.964,2.57,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T04:05:00Z,2.511,3.66,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T04:07:00Z,1.949,4.69,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T04:10:00Z,1.45,6.93,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T04:12:00Z,0.943,7.32,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T04:14:00Z,0.473,7.36,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2011-07-01T04:30:00Z,1.658,0.64,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2011-07-01T04:30:00Z,1.919,5.55,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2011-07-01T04:30:00Z,5.644,5.45,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2011-07-01T04:30:00Z,4.147,2.14,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2011-07-01T04:30:00Z,2.574,4.49,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2011-07-01T05:00:00Z,1.657,0.67,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2011-07-01T05:00:00Z,1.929,5.59,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2011-07-01T05:00:00Z,5.716,5.04,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2011-07-01T05:00:00Z,4.157,2.25,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2011-07-01T05:00:00Z,2.55,4.35,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2011-07-01T05:00:00Z,1.83,5.23,1111122 
SCCF RECON,ioos:station:SCCF:12,26.4966,-82.1479,2011-07-01T05:00:00Z,2.209,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2011-07-01T05:00:00Z,2.384,4.06,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2011-07-01T05:00:00Z,1.806,6.21,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2011-07-01T05:00:00Z,2.26,2.7,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T05:02:00Z,2.992,3.22,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T05:05:00Z,2.472,3.91,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T05:07:00Z,1.904,4.96,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T05:10:00Z,1.57,5.92,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T05:12:00Z,0.939,6.85,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T05:15:00Z,0.442,7.02,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2011-07-01T05:30:00Z,1.677,0.77,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2011-07-01T05:30:00Z,1.949,5.58,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2011-07-01T05:30:00Z,5.711,5.85,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2011-07-01T05:30:00Z,4.183,1.4,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2011-07-01T05:30:00Z,2.564,4.77,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2011-07-01T06:00:00Z,1.694,0.75,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2011-07-01T06:00:00Z,1.96,5.52,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2011-07-01T06:00:00Z,5.884,5.59,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2011-07-01T06:00:00Z,4.214,1.62,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2011-07-01T06:00:00Z,2.61,5.66,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2011-07-01T06:00:00Z,1.9,5.02,1111122 
SCCF RECON,ioos:station:SCCF:12,26.4966,-82.1479,2011-07-01T06:00:00Z,2.28,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2011-07-01T06:00:00Z,2.436,4.29,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2011-07-01T06:00:00Z,1.864,5.89,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2011-07-01T06:00:00Z,2.3,3.07,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T06:02:00Z,3.013,3.15,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T06:05:00Z,2.496,4.0,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T06:07:00Z,1.927,5.56,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T06:10:00Z,1.426,6.26,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T06:12:00Z,0.931,6.66,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T06:14:00Z,0.428,6.78,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2011-07-01T06:30:00Z,1.712,0.48,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2011-07-01T06:30:00Z,2.0,5.51,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2011-07-01T06:30:00Z,5.89,5.17,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2011-07-01T06:30:00Z,4.248,1.89,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2011-07-01T06:30:00Z,2.639,4.84,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2011-07-01T07:00:00Z,1.756,0.6,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2011-07-01T07:00:00Z,2.033,5.8,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2011-07-01T07:00:00Z,5.966,5.15,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2011-07-01T07:00:00Z,4.294,1.89,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2011-07-01T07:00:00Z,2.675,5.72,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2011-07-01T07:00:00Z,1.89,5.12,1111122 
SCCF RECON,ioos:station:SCCF:12,26.4966,-82.1479,2011-07-01T07:00:00Z,2.293,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2011-07-01T07:00:00Z,2.43,4.52,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2011-07-01T07:00:00Z,1.89,5.73,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2011-07-01T07:00:00Z,2.36,3.13,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T07:02:00Z,3.02,2.88,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T07:05:00Z,2.497,3.74,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T07:07:00Z,1.927,5.99,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T07:10:00Z,1.431,6.21,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T07:12:00Z,0.936,6.51,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T07:14:00Z,0.44,6.61,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2011-07-01T07:30:00Z,1.789,0.43,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2011-07-01T07:30:00Z,2.04,6.13,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2011-07-01T07:30:00Z,5.97,5.73,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2011-07-01T07:30:00Z,4.345,2.07,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2011-07-01T07:30:00Z,2.773,5.46,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2011-07-01T08:00:00Z,1.829,0.33,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2011-07-01T08:00:00Z,2.068,6.1,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2011-07-01T08:00:00Z,5.948,5.15,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2011-07-01T08:00:00Z,4.39,2.09,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2011-07-01T08:00:00Z,2.882,5.65,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2011-07-01T08:00:00Z,1.84,5.15,1111122 
SCCF RECON,ioos:station:SCCF:12,26.4966,-82.1479,2011-07-01T08:00:00Z,2.26,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2011-07-01T08:00:00Z,2.41,4.65,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2011-07-01T08:00:00Z,1.85,5.61,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2011-07-01T08:00:00Z,2.4,2.45,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T08:02:00Z,3.027,3.57,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T08:05:00Z,2.441,5.6,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T08:07:00Z,1.945,4.71,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T08:10:00Z,1.46,6.01,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T08:12:00Z,0.967,6.67,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T08:14:00Z,0.463,6.8,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2011-07-01T08:30:00Z,1.845,0.41,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2011-07-01T08:30:00Z,2.094,6.77,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2011-07-01T08:30:00Z,6.086,5.17,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2011-07-01T08:30:00Z,4.424,2.14,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2011-07-01T08:30:00Z,3.003,4.88,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2011-07-01T09:00:00Z,1.846,0.66,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2011-07-01T09:00:00Z,2.132,5.75,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2011-07-01T09:00:00Z,6.263,4.94,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2011-07-01T09:00:00Z,4.427,1.88,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2011-07-01T09:00:00Z,3.164,4.55,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2011-07-01T09:00:00Z,1.78,5.02,1111122 
SCCF RECON,ioos:station:SCCF:12,26.4966,-82.1479,2011-07-01T09:00:00Z,2.2,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2011-07-01T09:00:00Z,2.37,4.46,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2011-07-01T09:00:00Z,1.799,5.54,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2011-07-01T09:00:00Z,2.433,2.97,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T09:02:00Z,2.976,4.11,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T09:05:00Z,2.448,4.78,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T09:07:00Z,1.969,5.79,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T09:10:00Z,1.476,6.67,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T09:12:00Z,0.989,6.75,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T09:14:00Z,0.428,6.83,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2011-07-01T09:30:00Z,1.866,0.53,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2011-07-01T09:30:00Z,2.151,5.55,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2011-07-01T09:30:00Z,6.333,5.07,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2011-07-01T09:30:00Z,4.435,2.16,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2011-07-01T09:30:00Z,3.294,4.2,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2011-07-01T10:00:00Z,1.91,0.38,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2011-07-01T10:00:00Z,2.157,5.35,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2011-07-01T10:00:00Z,6.336,5.11,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2011-07-01T10:00:00Z,4.426,2.52,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2011-07-01T10:00:00Z,3.352,4.16,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2011-07-01T10:00:00Z,1.75,4.64,1111122 
SCCF RECON,ioos:station:SCCF:12,26.4966,-82.1479,2011-07-01T10:00:00Z,2.16,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2011-07-01T10:00:00Z,2.355,4.49,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2011-07-01T10:00:00Z,1.772,5.77,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2011-07-01T10:00:00Z,2.44,2.66,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T10:02:00Z,3.006,3.78,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T10:05:00Z,2.477,4.43,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T10:07:00Z,1.926,5.74,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T10:10:00Z,1.428,6.82,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T10:12:00Z,0.922,6.84,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T10:14:00Z,0.428,6.83,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2011-07-01T10:30:00Z,1.963,0.79,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2011-07-01T10:30:00Z,2.149,5.39,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2011-07-01T10:30:00Z,6.419,5.2,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2011-07-01T10:30:00Z,4.42,2.82,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2011-07-01T10:30:00Z,3.424,4.44,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2011-07-01T11:00:00Z,1.998,0.58,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2011-07-01T11:00:00Z,2.192,5.37,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2011-07-01T11:00:00Z,6.581,5.07,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2011-07-01T11:00:00Z,4.465,2.95,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2011-07-01T11:00:00Z,3.558,4.34,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2011-07-01T11:00:00Z,1.74,4.09,1111122 
SCCF RECON,ioos:station:SCCF:12,26.4966,-82.1479,2011-07-01T11:00:00Z,2.162,-9999.0,1111122 
