network,platform,latitude,longitude,date,vertical_datum,mass_concentration_of_oxygen_in_sea_wate,qcFlag 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2011-07-01T00:00:00Z,1.726,1.03,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2011-07-01T00:00:00Z,1.951,6.93,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2011-07-01T00:00:00Z,5.782,7.19,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2011-07-01T00:00:00Z,4.057,6.63,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2011-07-01T00:00:00Z,3.23,4.1,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2011-07-01T00:00:00Z,1.29,6.19,1111122 
SCCF RECON,ioos:station:SCCF:12,26.4966,-82.1479,2011-07-01T00:00:00Z,1.75,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2011-07-01T00:00:00Z,2.116,5.15,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2011-07-01T00:00:00Z,1.38,7.43,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2011-07-01T00:00:00Z,2.48,5.44,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T00:02:00Z,3.033,3.8,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T00:05:00Z,2.395,5.02,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T00:07:00Z,2.048,6.47,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T00:10:00Z,1.388,7.9,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T00:12:00Z,1.049,7.98,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T00:15:00Z,0.555,7.95,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2011-07-01T00:30:00Z,1.703,0.86,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2011-07-01T00:30:00Z,1.935,6.64,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2011-07-01T00:30:00Z,5.725,6.91,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2011-07-01T00:30:00Z,4.046,6.51,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2011-07-01T00:30:00Z,3.149,4.79,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2011-07-01T01:00:00Z,1.68,0.72,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2011-07-01T01:00:00Z,1.914,6.22,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2011-07-01T01:00:00Z,5.687,6.77,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2011-07-01T01:00:00Z,4.039,6.29,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2011-07-01T01:00:00Z,3.052,4.38,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2011-07-01T01:00:00Z,1.3,5.75,1111122 
SCCF RECON,ioos:station:SCCF:12,26.4966,-82.1479,2011-07-01T01:00:00Z,1.71,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2011-07-01T01:00:00Z,2.073,4.79,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2011-07-01T01:00:00Z,1.383,6.93,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2011-07-01T01:00:00Z,2.42,5.09,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T01:02:00Z,3.037,3.04,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T01:05:00Z,2.459,3.65,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T01:07:00Z,1.954,6.78,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T01:10:00Z,1.444,7.81,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T01:12:00Z,1.1,7.88,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T01:15:00Z,0.453,7.92,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2011-07-01T01:30:00Z,1.669,0.7,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2011-07-01T01:30:00Z,1.904,6.0,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2011-07-01T01:30:00Z,5.644,6.79,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2011-07-01T01:30:00Z,4.058,6.18,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2011-07-01T01:30:00Z,2.973,4.77,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2011-07-01T02:00:00Z,1.659,0.89,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2011-07-01T02:00:00Z,1.906,5.82,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2011-07-01T02:00:00Z,5.61,6.58,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2011-07-01T02:00:00Z,4.078,6.03,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2011-07-01T02:00:00Z,2.879,5.18,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2011-07-01T02:00:00Z,1.44,5.67,1111122 
SCCF RECON,ioos:station:SCCF:12,26.4966,-82.1479,2011-07-01T02:00:00Z,1.8,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2011-07-01T02:00:00Z,2.137,4.65,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2011-07-01T02:00:00Z,1.455,7.14,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2011-07-01T02:00:00Z,2.361,4.45,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T02:02:00Z,3.078,2.81,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T02:05:00Z,2.486,3.28,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T02:07:00Z,2.086,6.35,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T02:10:00Z,1.433,7.19,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T02:12:00Z,0.923,7.78,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T02:15:00Z,0.419,7.89,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2011-07-01T02:30:00Z,1.65,0.69,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2011-07-01T02:30:00Z,1.911,5.67,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2011-07-01T02:30:00Z,5.617,6.54,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2011-07-01T02:30:00Z,4.102,5.79,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2011-07-01T02:30:00Z,2.786,5.5,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2011-07-01T03:00:00Z,1.638,0.69,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2011-07-01T03:00:00Z,1.925,5.36,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2011-07-01T03:00:00Z,5.621,6.07,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2011-07-01T03:00:00Z,4.112,5.54,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2011-07-01T03:00:00Z,2.712,4.6,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2011-07-01T03:00:00Z,1.57,5.6,1111122 
SCCF RECON,ioos:station:SCCF:12,26.4966,-82.1479,2011-07-01T03:00:00Z,1.96,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2011-07-01T03:00:00Z,2.218,4.65,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2011-07-01T03:00:00Z,1.579,6.7,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2011-07-01T03:00:00Z,2.31,3.71,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T03:02:00Z,2.965,3.02,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T03:05:00Z,2.444,3.25,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T03:07:00Z,2.043,4.27,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T03:10:00Z,1.472,7.24,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T03:12:00Z,0.908,7.77,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2011-07-01T03:15:00Z,0.403,7.81,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2011-07-01T03:30:00Z,1.641,0.78,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2011-07-01T03:30:00Z,1.919,4.06,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2011-07-01T03:30:00Z,5.566,5.97,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2011-07-01T03:30:00Z,4.137,5.55,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2011-07-01T03:30:00Z,2.66,4.77,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2011-07-01T04:00:00Z,1.648,0.8,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2011-07-01T04:00:00Z,1.921,5.47,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2011-07-01T04:00:00Z,5.606,5.58,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2011-07-01T04:00:00Z,4.149,5.36,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2011-07-01T04:00:00Z,2.617,4.82,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2011-07-01T04:00:00Z,1.696,5.48,1111122 
SCCF RECON,ioos:station:SCCF:12,26.4966,-82.1479,2011-07-01T04:00:00Z,2.084,-9999.0,1111122 
