#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "SEAMAP:  Zooplankton biomass data sampled by the SouthEast Area Monitoring and Assessment Program (SEAMAP)"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  14-Sep-2017  (Web v10.2 x)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05201/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
316O-110625,2011,  6, 25, 22.400, 16.400,  26.053, -96.503,    0.0,   58.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,        112. m3,            12.,   ml/haul,         0.1071,ml/m3, 0, 0, 0,-1,           41.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0001_0001,SEAMAP, 2513,  565, 1185,295,              4,Zooplankton displacement volume,-[ ]-,
316O-110625,2011,  6, 26,  4.200, 22.200,  25.997, -97.002,    0.0,   25.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         85. m3,            18.,   ml/haul,          0.212,ml/m3, 0, 0, 0,-1,           61.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0002_0001,SEAMAP, 2513,  565, 1185,295,              6,Zooplankton displacement volume,-[ ]-,
316O-110625,2011,  6, 26, 11.200,  5.200,  26.495, -97.000,    0.0,   32.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         51. m3,            26.,   ml/haul,          0.510,ml/m3, 0, 0, 0,-1,           89.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0003_0001,SEAMAP, 2513,  565, 1185,295,              9,Zooplankton displacement volume,-[ ]-,
316O-110625,2011,  6, 26, 15.430,  9.430,  26.479, -96.492,    0.0,   77.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,        116. m3,            13.,   ml/haul,         0.1121,ml/m3, 0, 0, 0,-1,           44.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0004_0001,SEAMAP, 2513,  565, 1185,295,             10,Zooplankton displacement volume,-[ ]-,
316O-110625,2011,  6, 27, 12.470,  6.470,  26.995, -97.199,    0.0,   25.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         54. m3,            43.,   ml/haul,          0.796,ml/m3, 0, 0, 0,-1,          147.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0005_0001,SEAMAP, 2513,  565, 1185,295,             19,Zooplankton displacement volume,-[ ]-,
316O-110625,2011,  6, 27, 18.170, 12.170,  26.972, -96.603,    0.0,   92.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,        155. m3,            18.,   ml/haul,         0.1161,ml/m3, 0, 0, 0,-1,           61.6,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0006_0001,SEAMAP, 2513,  565, 1185,295,             21,Zooplankton displacement volume,-[ ]-,
316O-110625,2011,  6, 29,  0.620, 18.620,  27.500, -96.503,    0.0,   70.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,        155. m3,            16.,   ml/haul,         0.1032,ml/m3, 0, 0, 0,-1,           54.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0007_0001,SEAMAP, 2513,  565, 1185,295,             35,Zooplankton displacement volume,-[ ]-,
316O-110625,2011,  6, 29, 17.250, 11.250,  27.995, -96.502,    0.0,   24.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         57. m3,            12.,   ml/haul,          0.211,ml/m3, 0, 0, 0,-1,           41.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0008_0001,SEAMAP, 2513,  565, 1185,295,             43,Zooplankton displacement volume,-[ ]-,
316O-110625,2011,  6, 30,  0.970, 18.970,  28.020, -96.037,    0.0,   38.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         75. m3,            34.,   ml/haul,          0.453,ml/m3, 0, 0, 0,-1,          116.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0009_0001,SEAMAP, 2513,  565, 1185,295,             47,Zooplankton displacement volume,-[ ]-,
316O-110625,2011,  6, 30,  6.480,  0.483,  27.998, -95.502,    0.0,   54.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         72. m3,            26.,   ml/haul,          0.361,ml/m3, 0, 0, 0,-1,           89.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0010_0001,SEAMAP, 2513,  565, 1185,295,             49,Zooplankton displacement volume,-[ ]-,
